time	P	ES	E	S
0	0	0	1	10
0.001	0.033403125	0.4028852948567709	0.5971147051432291	9.54701001764323
0.002	0.08264587972651646	0.5127206539144012	0.4872793460855987	9.363310526495825
0.003	0.1362927301107798	0.541550620700879	0.45844937929912094	9.254010284132953
0.004	0.1910207842379226	0.5479423880231038	0.45205761197689615	9.165526435620015
0.005	0.24589323677072986	0.5481277383570752	0.45187226164292477	9.083032406486833
0.006	0.30064820986890234	0.5465945437962287	0.4534054562037712	9.00243314140042
0.007	0.3552122345148344	0.5445804210293248	0.4554195789706752	8.922601227198426
0.008	0.4095641465355732	0.5424258343416135	0.4575741656583865	8.843227945855029
0.009000000000000001	0.4636972550561197	0.5402242381380408	0.4597757618619593	8.764229879277782
0.010000000000000002	0.5176088647188328	0.5380012401879798	0.4619987598120203	8.685585462733773
0.011000000000000003	0.5712973817381456	0.5357638548473022	0.46423614515269795	8.607290072545482
0.012000000000000004	0.6247615165998349	0.5335140126308259	0.4664859873691742	8.529343712469423
0.013000000000000005	0.6780000650053386	0.531252258048761	0.468747741951239	8.451747644443232
0.014000000000000005	0.7310118479496368	0.5289787598755427	0.4710212401244574	8.374503468200004
0.015000000000000006	0.7837956955089638	0.5266935867104511	0.4733064132895489	8.297612870026105
0.016000000000000007	0.8363504426157269	0.5243967820509324	0.47560321794906757	8.221077554025479
0.017000000000000008	0.8886749281184226	0.5220883847462365	0.47791161525376347	8.14489922307613
0.01800000000000001	0.9407679947433947	0.5197684345924958	0.4802315654075042	8.069079573292413
0.01900000000000001	0.992628489306776	0.5174369738908602	0.48256302610913987	7.993620292148977
0.02000000000000001	1.044255262998655	0.5150940479099057	0.48490595209009435	7.918523057592113
0.02100000000000001	1.0956471716909022	0.5127397050507163	0.48726029494928363	7.843789537412931
0.022000000000000013	1.1468030762553996	0.5103739969311079	0.48962600306889215	7.769421388685793
0.023000000000000013	1.1977218428890273	0.5079969784475951	0.49200302155240494	7.695420257218864
0.024000000000000014	1.2484023434443778	0.5056087078309215	0.4943912921690785	7.621787777002512
0.025000000000000015	1.2988434557658743	0.5032092466993802	0.4967907533006198	7.548525569651809
0.026000000000000016	1.349044064031154	0.5007986601110195	0.4992013398889805	7.47563524384225
0.027000000000000017	1.3990030590976272	0.49837701661497474	0.5016229833850252	7.403118394738585
0.028000000000000018	1.4487193388541248	0.4959443883019395	0.5040556116980605	7.3309766034168735
0.02900000000000002	1.498191808577549	0.49350085085372236	0.5064991491462776	7.259211436279955
0.03000000000000002	1.5474193812944288	0.4910464835918196	0.5089535164081803	7.187824444466538
0.03100000000000002	1.5964009781472825	0.4885813695249266	0.5114186304750734	7.116817163254151
0.03200000000000002	1.645135528765673	0.4861055953953081	0.5138944046046918	7.046191111456183
0.03300000000000002	1.69362197164184	0.483619251723947	0.516380748276053	6.975947790813294
0.03400000000000002	1.7418592545107825	0.4811224328543867	0.5188775671456132	6.90608868537944
0.035000000000000024	1.7898463347346574	0.47861523699518504	0.5213847630048148	6.836615260902829
0.036000000000000025	1.8375821796913479	0.4760977662608919	0.5239022337391079	6.767528964202087
0.037000000000000026	1.8850657671670548	0.47357012671146576	0.5264298732885341	6.698831222537953
0.03800000000000003	1.932296085752746	0.4710324283900402	0.5289675716099597	6.6305234429808415
0.03900000000000003	1.979272135244297	0.4684847853589521	0.5315152146410478	6.562607011774603
0.04000000000000003	2.025992927046143	0.4659273157339418	0.534072684266058	6.495083293696845
0.04100000000000003	2.0724574845782553	0.46336014171643564	0.5366398582835642	6.427953631416182
0.04200000000000003	2.118664843686248	0.46078338962381904	0.5392166103761807	6.36121934484681
0.04300000000000003	2.1646140530544047	0.45819718991761055	0.5418028100823893	6.294881730500783
0.04400000000000003	2.2103041746214176	0.4556016772294437	0.5443983227705561	6.22894206083843
0.04500000000000003	2.2557342839986063	0.4529969903847668	0.547003009615233	6.163401583617324
0.046000000000000034	2.3009034708903937	0.45038327242416853	0.5496167275758312	6.098261521240241
0.047000000000000035	2.3458108395167874	0.44776067062223796	0.5522393293777619	6.033523070102581
0.048000000000000036	2.390455509037623	0.4451293365038689	0.554870663496131	5.969187399939697
0.04900000000000004	2.434836613978305	0.44248942585791795	0.5575105741420819	5.905255653174625
0.05000000000000004	2.4789533046567764	0.43984109874812743	0.5601589012518725	5.841728944266708
0.05100000000000004	2.522804747611443	0.4371845195212243	0.5628154804787756	5.778608359061612
0.05200000000000004	2.566390126029758	0.43451985681210825	0.5654801431878916	5.7158949541432555
0.05300000000000004	2.609708640177181	0.43184728354604335	0.5681527164539565	5.653589756188186
0.05400000000000004	2.6527595078261994	0.429166976937769	0.5708330230622308	5.591693761322933
0.05500000000000004	2.695541964685105	0.4264791184874478	0.5735208815125521	5.530207934484896
0.05600000000000004	2.7380552648262033	0.42378389397337035	0.5762161060266295	5.4691332087873255
0.057000000000000044	2.7802986811131265	0.42108149344133916	0.5789185065586607	5.408470484888972
0.058000000000000045	2.8222715056269183	0.4183721111906559	0.5816278888093439	5.348220630368967
0.059000000000000045	2.863973050090542	0.4156559457566398	0.58434405424336	5.288384479107547
0.060000000000000046	2.9054026462914653	0.4129331998896067	0.587066800110393	5.228962830673195
0.06100000000000005	2.946559646501962	0.4102040805302441	0.5897959194697556	5.169956449716813
0.06200000000000005	2.987443423896769	0.40746879878131664	0.5925312012186831	5.11136606537353
0.06300000000000004	3.028053372967729	0.4047275698756449	0.5952724301243548	5.053192370672762
0.06400000000000004	3.0683889099350394	0.4019806131403014	0.5980193868596982	4.99543602195714
0.06500000000000004	3.1084494731547316	0.39922815195697225	0.6007718480430274	4.938097638310931
0.06600000000000004	3.148234523521992	0.3964704137184381	0.6035295862815615	4.881177800998574
0.06700000000000005	3.1877435448699356	0.393707629781132	0.6062923702188676	4.824677052913965
0.06800000000000005	3.226976044363437	0.3909400354137372	0.6090599645862624	4.7685958980411085
0.06900000000000005	3.2659315528876207	0.38816786974179185	0.6118321302582078	4.712934800926778
0.07000000000000005	3.304609625430614	0.3853913756882748	0.6146086243117249	4.657694186165805
0.07100000000000005	3.3430098414601535	0.3826107999101499	0.6173892000898498	4.6028744378996205
0.07200000000000005	3.381131805293644	0.37982639273085383	0.6201736072691458	4.548475899328681
0.07300000000000005	3.4189751464612637	0.37703840806871725	0.6229615919312824	4.494498872239388
0.07400000000000005	3.456539520061706	0.37424710336131556	0.6257528966386842	4.440943616546126
0.07500000000000005	3.493824607110156	0.3714527394857517	0.628547260514248	4.387810349849015
0.07600000000000005	3.5308301148780887	0.36865558067488036	0.6313444193251194	4.335099247007987
0.07700000000000005	3.567555777224489	0.36585589442948807	0.6341441055705117	4.282810439733779
0.07800000000000006	3.6040013549180867	0.3630539514264525	0.6369460485735472	4.230944016196418
0.07900000000000006	3.6401666359502114	0.3602500254229094	0.6397499745770904	4.179500020651774
0.08000000000000006	3.6760514358378598	0.3574443931564627	0.6425556068435371	4.128478453086748
0.08100000000000006	3.711655597916593	0.3546373342414824	0.6453626657585173	4.077879268883628
0.08200000000000006	3.746978993622868	0.35182913106153846	0.6481708689384613	4.027702378504159
0.08300000000000006	3.78202152276542	0.34902006865802915	0.6509799313419706	3.97794764719384
0.08400000000000006	3.8167831137853234	0.34621043461506873	0.653789565384931	3.9286148947069455
0.08500000000000006	3.8512637240043537	0.34340051894070533	0.6565994810592944	3.8797038950527636
0.08600000000000006	3.8854633398612926	0.34059061394454904	0.6594093860554507	3.831214376263511
0.08700000000000006	3.919381977135821	0.3377810141118961	0.6622189858881037	3.7831460201843714
0.08800000000000006	3.9530196811596503	0.33497201597444326	0.6650279840255565	3.7354984622860803
0.08900000000000007	3.986376527014561	0.33216391797769285	0.6678360820223069	3.6882712915004654
0.09000000000000007	4.019452619717018	0.3293570203451569	0.6706429796548429	3.6414640500793154
0.09100000000000007	4.052248094389056	0.32655162493947454	0.6734483750605252	3.5950762334769406
0.09200000000000007	4.084763116415121	0.323748035120566	0.6762519648794338	3.549107290256752
0.09300000000000007	4.116997881584587	0.3209465556009505	0.6790534443990494	3.5035566220221686
0.09400000000000007	4.14895261621967	0.3181474922983643	0.6818525077016355	3.4584235833721295
0.09500000000000007	4.180627577288474	0.3153511521858206	0.6846488478141792	3.4137074818814677
0.09600000000000007	4.212023052502915	0.31255784313925916	0.6874421568607406	3.3694075781063675
0.09700000000000007	4.243139360401306	0.30976787378294	0.6902321262170598	3.3255230856151003
0.09800000000000007	4.273976850415367	0.3069815533327416	0.6930184466672582	3.2820531710442076
0.09900000000000007	4.30453590292147	0.30419919143752777	0.695800808562472	3.238996954180267
0.10000000000000007	4.334816929275931	0.30142109801875655	0.6985789019812432	3.1963535080673466
0.10100000000000008	4.364820371834183	0.2986475831085039	0.7013524168914957	3.1541218591402216
0.10200000000000008	4.394546703953676	0.2958789566860857	0.704121043313914	3.1123009873834007
0.10300000000000008	4.42399642998038	0.29311552851346057	0.7068844714865391	3.070889826515969
0.10400000000000008	4.453170085218777	0.29035760796960436	0.7096423920303953	3.0298872642022303
0.10500000000000008	4.482068235885239	0.2876055038840474	0.7123944961159522	2.9892921422880945
0.10600000000000008	4.510691479044735	0.28485952436977136	0.7151404756302282	2.949103257063127
0.10700000000000008	4.539040442530798	0.28211997665566396	0.7178800233443356	2.9093193595481397
0.10800000000000008	4.567115784848727	0.27938716691873283	0.7206128330812668	2.869939155808178
0.10900000000000008	4.594918195062003	0.27666140011628215	0.7233385998837175	2.830961307290715
0.11000000000000008	4.622448392661933	0.2739429798182563	0.7260570201817433	2.7923844311888457
0.11100000000000008	4.649707127420544	0.2712322080399577	0.7287677919600419	2.7542071008292277
0.11200000000000009	4.676695179226775	0.2685293850753443	0.7314706149246553	2.7164278460844944
0.11300000000000009	4.7034133579060375	0.2658348093311161	0.7341651906688834	2.679045153809829
0.11400000000000009	4.729862503023231	0.26314877716179513	0.7368512228382044	2.642057468303361
0.11500000000000009	4.756043483669326	0.2604715827060081	0.7395284172939914	2.605463191790005
0.11600000000000009	4.7819571982316464	0.2578035177241753	0.7421964822758242	2.5692606849283575
0.11700000000000009	4.807604574147994	0.2551448714378107	0.7448551285621888	2.5334482673402015
0.11800000000000009	4.832986567644795	0.2524959303706354	0.7475040696293641	2.498024218162175
0.11900000000000009	4.858104163459459	0.24985697819170333	0.7501430218082962	2.4629867766191107
0.12000000000000009	4.882958374547155	0.24722829556073733	0.7527717044392621	2.4283341426185325
0.1210000000000001	4.907550241772243	0.24461015997586805	0.7553898400241313	2.3940644773657715
0.1220000000000001	4.931880833584602	0.24200284562396618	0.7579971543760332	2.360175903999135
0.1230000000000001	4.955951245681139	0.23940662323375372	0.7605933767662457	2.326666508244542
0.1240000000000001	4.979762600652745	0.23682175993187554	0.763178240068124	2.293534339089011
0.12500000000000008	5.00331604761702	0.23424851910210734	0.7657514808978921	2.2607774094723667
0.12600000000000008	5.026612761837079	0.23168716024787148	0.768312839752128	2.228393696996515
0.12700000000000009	5.049653944326783	0.22913793885822542	0.7708620611417741	2.196381144651605
0.12800000000000009	5.072440821442752	0.22660110627748264	0.7733988937225169	2.1647376615583944
0.1290000000000001	5.094974644463524	0.22407690957861837	0.7759230904213812	2.133461123726101
0.1300000000000001	5.117256689156251	0.22156559144060706	0.7784344085593925	2.102549374825021
0.1310000000000001	5.139288255331334	0.21906739002983003	0.7809326099701696	2.072000226973173
0.1320000000000001	5.161070666385404	0.2165825388856859	0.7834174611143137	2.041811461536213
0.1330000000000001	5.18260526883308	0.21411126681052803	0.7858887331894715	2.0119808299398567
0.1340000000000001	5.203893431827945	0.21165379776404536	0.7883462022359542	1.982506054494042
0.1350000000000001	5.224936546673184	0.20921035076219602	0.7907896492378035	1.9533848292280336
0.1360000000000001	5.245736026322347	0.20678113978079354	0.793218860219206	1.9246148207356917
0.1370000000000001	5.26629330487071	0.20436637366383828	0.7956336263361612	1.8961936690301024
0.1380000000000001	5.286609837037707	0.20196625603667798	0.7980337439633215	1.8681189884067668
0.1390000000000001	5.306687097640925	0.19958098522407203	0.8004190147759275	1.840388368314546
0.1400000000000001	5.32652658106215	0.1972107541732266	0.8027892458267729	1.8129993742335542
0.1410000000000001	5.346129800705972	0.19485575038185793	0.8051442496181416	1.78594954855919
0.1420000000000001	5.365498288451447	0.19251615583133297	0.8074838441686665	1.759236411491503
0.1430000000000001	5.38463359409733	0.19019214692492745	0.809807853075072	1.7328574619290855
0.1440000000000001	5.403537284801387	0.18788389443123257	0.8121161055687668	1.706810178366695
0.1450000000000001	5.422210944514315	0.18559156343273334	0.814408436567266	1.6810920197958015
0.1460000000000001	5.4406561734087715	0.18331531327957187	0.8166846867204275	1.6557004266072788
0.1470000000000001	5.458874587304039	0.18105529754850125	0.8189447024514981	1.6306328214954482
0.1480000000000001	5.476867817086852	0.17881166400702625	0.821188335992973	1.6058866103627043
0.1490000000000001	5.494637508128888	0.17658455458271977	0.8234154454172795	1.5814591832239557
0.1500000000000001	5.512185319701459	0.17437410533769407	0.8256258946623052	1.557347915110126
0.1510000000000001	5.529512924387891	0.17218044644819933	0.8278195535517999	1.5335501669699716
0.1520000000000001	5.546622007494138	0.17000370218931304	0.8299962978106862	1.5100632865694876
0.1530000000000001	5.563514266458099	0.16784399092467656	0.8321560090753227	1.4868846093881822
0.1540000000000001	5.5801914102581724	0.1657014251012269	0.8342985748987723	1.4640114595115212
0.1550000000000001	5.596655158821525	0.16357611124886576	0.8364238887511335	1.4414411505188536
0.1560000000000001	5.612907242432572	0.16146814998499942	0.8385318500149999	1.4191709863661504
0.1570000000000001	5.628949401142152	0.15937763602387706	0.8406223639761222	1.3971982622629024
0.1580000000000001	5.644783384177877	0.15730465819064843	0.8426953418093509	1.3755202655425434
0.1590000000000001	5.660410949356114	0.15524929944005547	0.8447507005599438	1.3541342765257809
0.16000000000000011	5.675833862496067	0.1532116368796665	0.8467883631203328	1.3330375693762402
0.16100000000000012	5.691053896836407	0.151191741797556	0.8488082582024432	1.3122274129478415
0.16200000000000012	5.706072832454883	0.14918967969432806	0.8508103203056712	1.2917010716233555
0.16300000000000012	5.720892455691356	0.14720551031937518	0.8527944896806241	1.271455806143599
0.16400000000000012	5.735514558574659	0.14523928771126182	0.8547607122887375	1.2514888744267587
0.16500000000000012	5.749940938253698	0.14329106024211516	0.8567089397578842	1.2317975323773456
0.16600000000000012	5.764173396433195	0.1413608706659033	0.858639129334096	1.2123790346843117
0.16700000000000012	5.7782137388144355	0.13944875617047667	0.8605512438295226	1.193230635607878
0.16800000000000012	5.792063774541413	0.13755474843324517	0.8624452515667541	1.1743495897546437
0.16900000000000012	5.8057253156527135	0.13567887368036072	0.8643211263196385	1.1557331528405776
0.17000000000000012	5.819200176539489	0.13382115274927203	0.8661788472507272	1.1373785824415026
0.17100000000000012	5.832490173409852	0.13198160115451615	0.8680183988454832	1.119283138730715
0.17200000000000013	5.845597123759997	0.13016022915660916	0.8698397708433901	1.1014440852034044
0.17300000000000013	5.858522845852372	0.12835704183389712	0.8716429581661022	1.0838586893875535
0.17400000000000013	5.871269158201169	0.12657203915722662	0.8734279608427726	1.0665242235410282
0.17500000000000013	5.883837879065419	0.12480521606729295	0.8751947839327063	1.0494379653345867
0.17600000000000013	5.89623082594995	0.12305656255452434	0.876943437445475	1.0325971985205582
0.17700000000000013	5.908449815114456	0.12132606374135864	0.8786739362586407	1.0159992135869655
0.17800000000000013	5.920496661090902	0.11961369996677006	0.8803863000332293	0.9996413083968848
0.17900000000000013	5.932373176209497	0.11791944687290289	0.8820805531270964	0.9835207888128599
0.18000000000000013	5.944081170133421	0.11624327549366997	0.8837567245063294	0.9676349693062073
0.18100000000000013	5.955622449402509	0.11458515234517405	0.8854148476548253	0.9519811735510706
0.18200000000000013	5.966998816986064	0.11294503951781133	0.887054960482188	0.9365567350031003
0.18300000000000013	5.978212071844954	0.1113228947699176	0.8886771052300817	0.9213589974626594
0.18400000000000014	5.989264008503147	0.1097186716228186	0.8902813283771807	0.9063853156224692
0.18500000000000014	6.000156416628817	0.10813231945714846	0.8918676805428508	0.8916330555996341
0.18600000000000014	6.010891080625139	0.10656378361030092	0.8934362163896984	0.8770995954519983
0.18700000000000014	6.02146977923088	0.1050130054748812	0.8949869945251181	0.8627823256788072
0.18800000000000014	6.0318942851308766	0.10347992259802778	0.8965200774019715	0.8486786497056645
0.18900000000000014	6.0421663645764925	0.1019644687814762	0.8980355312185231	0.8347859843537921
0.19000000000000014	6.052287777016102	0.10046657418223946	0.8995334258177599	0.8211017602936151
0.19100000000000014	6.062260274735674	0.09898616541378215	0.9010138345862172	0.8076234224827131
0.19200000000000014	6.072085602509498	0.09752316564756872	0.9024768343524306	0.7943484305881913
0.19300000000000014	6.081765497261064	0.09607749471486889	0.9039225052851305	0.7812742593935411
0.19400000000000014	6.091301687734149	0.09464906920870644	0.9053509307912929	0.7683983991900756
